 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	HA21.DAT
Date : 	 5JUL12  
User : 	kvds                          
Sample ID : 	HA2     
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	100	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	200	mm
Grip distance : 	200	mm
 
Specimen data:
--------------
Specimen number : 	1
Specimen geometry : 	cylindrical
Surface : 	.785	mm²
Diameter : 	1	mm
Extensometer removed at point :  0 
Max Load : 	.2401818	kN
Displ. at Max Load : 	.057087	mm
Comment : 	
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]

0	0	0.000406	0.005603
1	.1	0.000406	0.00502
2	.2	0.000406	0.005463
3	.3	0.000406	0.004543
4	.4	0.000356	0.004369
5	.5	0.000406	0.004533
6	.6	0.000356	0.003809
7	.7	0.000356	0.005424
8	.8	0.000356	0.004668
9	.9	0.000406	0.004225
10	1	0.000406	0.004504
11	1.1	0.000406	0.004947
12	1.2	0.000406	0.004926
13	1.3	0.000406	0.005775
14	1.4	0.000406	0.00509
15	1.5	0.000406	0.004856
16	1.6	0.000406	0.00422
17	1.7	0.000406	0.004619
18	1.8	0.000356	0.005426
19	1.9	0.000406	0.005629
20	2	0.000406	0.005179
21	2.1	0.000406	0.003673
22	2.2	0.000406	0.005385
23	2.3	0.000406	0.004817
24	2.4	0.000406	0.004718
25	2.5	0.000406	0.005041
26	2.6	0.000406	0.004449
27	2.7	0.000356	0.005671
28	2.8	0.084988	0.00887
29	2.9	0.254991	0.031286
30	3	0.429997	0.070283
31	3.1	0.599999	0.115175
32	3.2	0.770001	0.152633
33	3.3	0.940003	0.185492
34	3.4	1.110005	0.211282
35	3.5	1.280008	0.227988
36	3.6	1.45001	0.240182
37	3.7	1.615008	0.209073
38	3.8	1.78501	0.212655
39	3.9	1.950009	0.201203
40	4	2.120011	0.173775
41	4.1	2.289988	0.145052
42	4.2	2.455012	0.149887
43	4.3	2.624988	0.152867
44	4.4	2.790012	0.152242
45	4.5	2.959989	0.153779
46	4.6	3.124987	0.155772
47	4.7	3.294989	0.155766
48	4.8	3.459988	0.156996
49	4.9	3.625012	0.157632
50	5	3.794989	0.158721
51	5.1	3.960013	0.128458
52	5.2	4.125011	0.122305
53	5.3	4.290009	0.120544
54	5.4	4.460012	0.122256
55	5.5	4.62501	0.12136
56	5.6	4.790008	0.12224
57	5.7	4.960011	0.121729
58	5.8	5.125009	0.121742
59	5.9	5.295011	0.121907
60	6	5.46001	0.120349
61	6.1	5.625008	0.121013
62	6.2	5.79501	0.121156
63	6.3	5.960009	0.120685
64	6.4	6.130011	0.120565
65	6.5	6.295009	0.120331
66	6.6	6.460007	0.118372
67	6.7	6.625006	0.117048
68	6.8	6.790004	0.117085
69	6.9	6.955003	0.116973
70	7	7.125005	0.117864
71	7.1	7.290003	0.117176
72	7.2	7.460005	0.117512
73	7.3	7.625004	0.117191
74	7.4	7.790002	0.117814
75	7.5	7.955001	0.118056
76	7.6	8.125003	0.116736
77	7.7	8.290001	0.117199
78	7.8	8.455	0.116066
79	7.9	8.625002	0.114748
80	8	8.79	0.113534
81	8.1	8.954999	0.113482
82	8.2	9.119997	0.112245
83	8.3	9.284995	0.111648
84	8.4	9.454998	0.106365
85	8.5	9.619996	0.104398
86	8.6	9.784994	0.098597
87	8.7	9.954997	0.100499
88	8.8	10.119995	0.09992
89	8.9	10.284993	0.102056
90	9	10.454996	0.100814
91	9.1	10.619994	0.100543
92	9.2	10.784992	0.100868
93	9.3	10.954995	0.100986
94	9.4	11.119993	0.100155
95	9.5	11.289995	0.101223
96	9.6	11.454994	0.100934
97	9.7	11.619992	0.101168
98	9.8	11.78499	0.101619
99	9.9	11.949989	0.101817
100	10	12.119991	0.102163
101	10.1	12.289993	0.102069
102	10.2	12.454992	0.101288
103	10.3	12.61999	0.101397
104	10.4	12.784989	0.102465
105	10.5	12.95499	0.102291
106	10.6	13.119989	0.103606
107	10.7	13.289991	0.103036
108	10.8	13.45499	0.102228
109	10.9	13.619988	0.103028
110	11	13.789991	0.103494
111	11.1	13.954988	0.103083
112	11.2	14.120012	0.103554
113	11.3	14.289989	0.10265
114	11.4	14.454988	0.103257
115	11.5	14.620012	0.103328
116	11.6	14.789989	0.104542
117	11.7	14.955012	0.102538
118	11.8	15.124988	0.102413
119	11.9	15.290013	0.101077
120	12	15.455011	0.100105
121	12.1	15.62001	0.095369
122	12.2	15.790011	0.096114
123	12.3	15.95501	0.09482
124	12.4	16.120008	0.094932
125	12.5	16.290011	0.093212
126	12.6	16.455009	0.089464
127	12.7	16.620008	0.088414
128	12.8	16.790009	0.088674
129	12.9	16.955008	0.088591
130	13	17.12501	0.089159
131	13.1	17.290009	0.08949
132	13.2	17.455007	0.088385
133	13.3	17.620006	0.090266
134	13.4	17.790007	0.088088
135	13.5	17.955006	0.089149
136	13.6	18.125008	0.089797
137	13.7	18.290007	0.089435
138	13.8	18.455005	0.042454
139	13.9	18.625008	0.054333
140	14	18.790005	0.055372
141	14.1	18.955004	0.056333
142	14.2	19.125006	0.055893
143	14.3	19.290005	0.015927
144	14.4	19.455003	0.015028
145	14.5	19.620002	0.015521
146	14.6	19.790003	0.014731
147	14.7	19.955002	0.015625
148	14.8	20.12	0.015151
149	14.9	20.290003	0.016906
150	15	20.455001	0.014408
151	15.1	20.619999	0.015073
152	15.2	20.790001	0.015271
153	15.3	20.955	0.016297
154	15.4	21.125002	0.015562
155	15.5	21.290001	0.015859
156	15.6	21.454999	0.015687
157	15.7	21.625002	0.016542
158	15.8	21.789999	0.015883
159	15.9	21.954998	0.015547
160	16	22.125	0.015831
161	16.1	22.289999	0.014893
162	16.2	22.454997	0.015442
163	16.3	22.619995	0.01582
164	16.4	22.789997	0.016521
165	16.5	22.954996	0.016464
166	16.6	23.124998	0.016195
167	16.7	23.289997	0.015989
168	16.8	23.454995	0.015487
169	16.9	23.624998	0.015888
170	17	23.789995	0.016169
171	17.1	23.954994	0.015224
172	17.2	24.119992	0.015711
173	17.3	24.289995	0.01537
174	17.4	24.454993	0.018183
175	17.5	24.619991	0.01681
176	17.6	24.789993	0.015943
177	17.7	24.954992	0.015935
178	17.8	25.11999	0.017136
179	17.9	25.289993	0.017151
180	18	25.45499	0.016182
181	18.1	25.61999	0.016388
182	18.2	25.789993	0.015849
183	18.3	25.95499	0.015685
184	18.4	26.119987	0.016185
185	18.5	26.289989	0.016696
186	18.6	26.45499	0.016836
187	18.7	26.619987	0.017896
188	18.8	26.785011	0.016159
189	18.9	26.955013	0.017414
190	19	27.124992	0.016052
191	19.1	27.289989	0.018048
192	19.2	27.455013	0.016938
193	19.3	27.62001	0.016388
194	19.4	27.785011	0.016302
195	19.5	27.95501	0.017891
196	19.6	28.12001	0.017188
197	19.7	28.285007	0.018936
198	19.8	28.45501	0.017769
199	19.9	28.62001	0.01767
200	20	28.785007	0.018001
201	20.1	28.95501	0.018529
202	20.2	29.120007	0.016933
203	20.3	29.290009	0.017172
204	20.4	29.455009	0.01694
205	20.5	29.620006	0.018456
206	20.6	29.785007	0.017305
207	20.7	29.955006	0.016602
208	20.8	30.120006	0.017498
209	20.9	30.285003	0.018514
210	21	30.455006	0.017461
211	21.1	30.620006	0.016979
212	21.2	30.790008	0.017245
213	21.3	30.955006	0.017636
214	21.4	31.120003	0.016529
215	21.5	31.290005	0.017258
216	21.6	31.455005	0.017951
217	21.7	31.620002	0.018321
218	21.8	31.785003	0.018227
219	21.9	31.95	0.017388
220	22	32.120002	0.017745
221	22.1	32.284999	0.017925
222	22.2	32.45	0.018146
223	22.3	32.620002	0.017149
224	22.4	32.784999	0.01748
225	22.5	32.955002	0.018076
226	22.6	33.119999	0.017667
227	22.7	33.290001	0.017701
228	22.8	33.455001	0.017269
229	22.9	33.619999	0.018235
230	23	33.784996	0.018225
231	23.1	33.954998	0.016763
232	23.2	34.119998	0.018582
233	23.3	34.284995	0.018545
234	23.4	34.449996	0.018772
235	23.5	34.619998	0.017779
236	23.6	34.784995	0.018662
237	23.7	34.949992	0.017386
238	23.8	35.119995	0.018618
239	23.9	35.284995	0.018152
240	24	35.449992	0.0173
241	24.1	35.619995	0.016862
242	24.2	35.784992	0.018529
243	24.3	35.949992	0.018066
244	24.4	36.119994	0.018993
245	24.5	36.284991	0.017985
246	24.6	36.449992	0.018545
247	24.7	36.619994	0.017808
248	24.8	36.784991	0.018303
249	24.9	36.949988	0.016753
250	25	37.119991	0.018756
251	25.1	37.284991	0.016412
252	25.2	37.449988	0.016586
253	25.3	37.619991	0.015937
254	25.4	37.784988	0.005588
255	25.5	37.95499	0.007007
256	25.6	38.11999	0.00826
257	25.7	38.284987	0.008167
258	25.8	38.45499	0.009503
259	25.9	38.61999	0.010365
260	26	38.784987	0.010936
261	26.1	38.95499	0.010852
262	26.2	39.119987	0.009876
263	26.3	39.285011	0.010404
264	26.4	39.450011	0.009274
265	26.5	39.619987	0.009969
266	26.6	39.785011	0.010714
267	26.7	39.950008	0.010808
268	26.8	40.120011	0.009292
269	26.9	40.285011	0.010524
270	27	40.455013	0.009581
271	27.1	40.62001	0.009216
272	27.2	40.785008	0.010636
273	27.3	40.95501	0.009941
274	27.4	41.12001	0.011324
275	27.5	41.290012	0.010001
276	27.6	41.45501	0.011066
277	27.7	41.620007	0.012637
278	27.8	41.785007	0.011446
279	27.9	41.955009	0.011926
280	28	42.120007	0.010501
281	28.1	42.290009	0.009852
282	28.2	42.455009	0.01036
283	28.3	42.620006	0.011194
284	28.4	42.790009	0.011139
285	28.5	42.955006	0.010816
286	28.6	43.120006	0.011165
287	28.7	43.290008	0.010589
288	28.8	43.455006	0.011608
289	28.9	43.620003	0.010027
290	29	43.785003	0.011201
291	29.1	43.95	0.010477
292	29.2	44.120003	0.011379
293	29.3	44.285003	0.010975
294	29.4	44.45	0.009936
295	29.5	44.620002	0.011027
296	29.6	44.785	0.011579
297	29.7	44.955002	0.01136
298	29.8	45.120002	0.010071
299	29.9	45.290004	0.008484
300	30	45.455002	0.010175
301	30.1	45.619999	0.009019
302	30.2	45.784999	0.008003
303	30.3	45.955001	0.007122
304	30.4	46.119999	0.007351
305	30.5	46.290001	0.005653
306	30.6	46.455001	0.001456
307	30.7	46.619998	0.001336
308	30.8	46.784996	0.001076
309	30.9	46.954998	0.000198
310	31	47.119998	0.002068
311	31.1	47.284995	-0.000125
312	31.2	47.449993	0.002274
313	31.3	47.619995	0.001248
314	31.4	47.784995	0.001172
315	31.5	47.949992	0.001985
316	31.6	48.119995	0.001112
317	31.7	48.284995	0.002227
318	31.8	48.449992	0.00049
319	31.9	48.619994	0.000537
320	32	48.784992	0.002675
321	32.1	48.949992	0.00212
322	32.2	49.119994	0.000503
323	32.3	49.284991	0.002391
324	32.4	49.449989	0.002347
325	32.5	49.614989	0.0026
326	32.6	49.784991	0.001683
327	32.7	49.949988	0.000706
328	32.8	50.119991	0.002407
329	32.9	50.284991	0.002282
330	33	50.449988	0.001131
331	33.1	50.615013	0.002985
332	33.2	50.784988	0.000862
333	33.3	50.950015	0.002899
334	33.4	51.120014	0.002649
335	33.5	51.284987	0.002128
336	33.6	51.450009	0.00007
337	33.7	51.615012	0.001766
338	33.8	51.784987	0.000917
339	33.9	51.950009	0.002285
340	34	52.115012	0.002774
341	34.1	52.285011	0.001951
342	34.2	52.450008	0.002391
343	34.3	52.620014	0.001198
344	34.4	52.785011	0.002391
345	34.5	52.950008	0.000089
346	34.6	53.120013	0.000729
347	34.7	53.285011	0.002313
348	34.8	53.450008	0.001563
349	34.9	53.620007	0.002808
350	35	53.78501	0.002386
351	35.1	53.950008	0.001962
352	35.2	54.120007	0.001902
353	35.3	54.285004	0.001618
354	35.4	54.450007	0.001831
355	35.5	54.620007	0.001652
356	35.6	54.785004	0.002592
357	35.7	54.950007	0.002759
358	35.8	55.120006	0.003178
359	35.9	55.285004	0.001967
360	36	55.450001	0.002389
361	36.1	55.615004	0.001839
362	36.2	55.785003	0.001779
363	36.3	55.950001	0.001667
364	36.4	56.115004	0.000427
365	36.5	56.285003	0.002548
366	36.6	56.45	0.002298
367	36.7	56.614998	0.002467
368	36.8	56.780001	0.003699
369	36.9	56.95	0.000565
370	37	57.114997	0.001508
371	37.1	57.285003	0.001761
372	37.2	57.45	0.002821
373	37.3	57.614997	0.00255
374	37.4	57.785002	0.000729
375	37.5	57.95	0.001519
376	37.6	58.114997	0.002365
377	37.7	58.284996	0.001863
378	37.8	58.449999	0.000443
379	37.9	58.614997	0.002535
