 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	nylon11.DAT
Date : 	 5JUL12  
User : 	kvds                          
Sample ID : 	nylon1  
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	100	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	400	mm
Grip distance : 	400	mm
 
Specimen data:
--------------
Specimen number : 	1
Specimen geometry : 	cylindrical
Surface : 	.785	mm²
Diameter : 	1	mm
Extensometer removed at point :  0 
Max Load : 	.2108936	kN
Displ. at Max Load : 	.61378	mm
Comment : 	
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]

0	0	0.0	0.004621
1	.1	0.0	0.004006
2	.2	0.0	0.004246
3	.3	0.0	0.004215
4	.4	0.0	0.003512
5	.5	0.0	0.004178
6	.6	0.0	0.004095
7	.7	0.0	0.00596
8	.8	0.0	0.003954
9	.9	0.0	0.00527
10	1	0.0	0.003574
11	1.1	0.0	0.003118
12	1.2	0.0	0.003324
13	1.3	0.0	0.003431
14	1.4	0.0	0.005392
15	1.5	0.050013	0.006744
16	1.6	0.224993	0.006226
17	1.7	0.394995	0.006195
18	1.8	0.564998	0.008732
19	1.9	0.735	0.008852
20	2	0.905002	0.010941
21	2.1	1.080008	0.011733
22	2.2	1.245006	0.01272
23	2.3	1.415009	0.016029
24	2.4	1.585011	0.016201
25	2.5	1.750009	0.01718
26	2.6	1.920011	0.01903
27	2.7	2.089988	0.020423
28	2.8	2.255012	0.022171
29	2.9	2.424989	0.024036
30	3	2.590013	0.025644
31	3.1	2.759989	0.028014
32	3.2	2.924988	0.029291
33	3.3	3.09499	0.031758
34	3.4	3.259988	0.033816
35	3.5	3.425012	0.036978
36	3.6	3.594989	0.037973
37	3.7	3.760013	0.040862
38	3.8	3.925011	0.042699
39	3.9	4.094988	0.045812
40	4	4.260012	0.046877
41	4.1	4.42501	0.050097
42	4.2	4.595012	0.051777
43	4.3	4.760011	0.055815
44	4.4	4.925009	0.056448
45	4.5	5.095011	0.059165
46	4.6	5.26001	0.062562
47	4.7	5.430012	0.063185
48	4.8	5.59501	0.067894
49	4.9	5.760009	0.069499
50	5	5.925007	0.071825
51	5.1	6.095009	0.075629
52	5.2	6.260008	0.076754
53	5.3	6.43001	0.080984
54	5.4	6.595008	0.08279
55	5.5	6.760007	0.08714
56	5.6	6.925005	0.089169
57	5.7	7.095007	0.090144
58	5.8	7.260006	0.094106
59	5.9	7.425004	0.096867
60	6	7.595006	0.098592
61	6.1	7.760005	0.104182
62	6.2	7.925003	0.105532
63	6.3	8.090002	0.107808
64	6.4	8.260004	0.110233
65	6.5	8.425002	0.114956
66	6.6	8.595004	0.117142
67	6.7	8.760003	0.119838
68	6.8	8.925001	0.122024
69	6.9	9.09	0.124978
70	7	9.260002	0.127333
71	7.1	9.425	0.131089
72	7.2	9.589999	0.132973
73	7.3	9.760001	0.13607
74	7.4	9.924999	0.138764
75	7.5	10.089998	0.143002
76	7.6	10.26	0.142981
77	7.7	10.424998	0.145917
78	7.8	10.589997	0.149918
79	7.9	10.759999	0.153042
80	8	10.924997	0.15629
81	8.1	11.089996	0.158523
82	8.2	11.259998	0.160554
83	8.3	11.424996	0.164074
84	8.4	11.589995	0.166442
85	8.5	11.754993	0.169779
86	8.6	11.919991	0.171681
87	8.7	12.089994	0.172326
88	8.8	12.254992	0.172782
89	8.9	12.41999	0.166507
90	9	12.589993	0.163522
91	9.1	12.754991	0.168151
92	9.2	12.919989	0.173593
93	9.3	13.089991	0.178735
94	9.4	13.25499	0.179477
95	9.5	13.424992	0.1827
96	9.6	13.589991	0.186078
97	9.7	13.75499	0.188009
98	9.8	13.920012	0.191153
99	9.9	14.089989	0.194852
100	10	14.254988	0.196454
101	10.1	14.42499	0.19853
102	10.2	14.589989	0.200013
103	10.3	14.754988	0.202745
104	10.4	14.92001	0.203917
105	10.5	15.090013	0.204931
106	10.6	15.255011	0.208633
107	10.7	15.42001	0.208197
108	10.8	15.590013	0.210894
109	10.9	15.75501	0.205785
110	11	15.920008	0.181947
111	11.1	16.090011	0.173757
112	11.2	16.25501	0.177193
113	11.3	16.420008	0.179126
114	11.4	16.590011	0.146823
115	11.5	16.755008	0.05694
116	11.6	16.920006	0.064104
117	11.7	17.090009	0.071757
118	11.8	17.255008	0.076006
119	11.9	17.420006	0.080307
120	12	17.590009	0.051063
121	12.1	17.755006	0.051775
122	12.2	17.920004	0.057641
123	12.3	18.090007	0.060134
124	12.4	18.255006	0.060986
125	12.5	18.425008	0.056787
126	12.6	18.590007	0.053593
127	12.7	18.755004	0.051397
128	12.8	18.925006	0.052051
129	12.9	19.090005	0.053304
130	13	19.260007	0.052348
131	13.1	19.425006	0.053963
132	13.2	19.590005	0.052103
133	13.3	19.755002	0.053705
134	13.4	19.92	0.054778
135	13.5	20.090003	0.053679
136	13.6	20.255002	0.051696
137	13.7	20.425004	0.050954
138	13.8	20.590003	0.052038
139	13.9	20.755	0.050607
140	14	20.919999	0.051259
141	14.1	21.090001	0.052421
142	14.2	21.260003	0.052118
143	14.3	21.425002	0.0526
144	14.4	21.590001	0.051431
145	14.5	21.754998	0.05222
146	14.6	21.919997	0.052473
147	14.7	22.089999	0.055349
148	14.8	22.254998	0.054234
149	14.9	22.425	0.053859
150	15	22.589999	0.055833
151	15.1	22.760001	0.055138
152	15.2	22.924998	0.055859
153	15.3	23.089997	0.056091
154	15.4	23.254996	0.058321
155	15.5	23.424998	0.058287
156	15.6	23.589997	0.058803
157	15.7	23.754994	0.060835
158	15.8	23.919993	0.061009
159	15.9	24.089995	0.061697
160	16	24.254994	0.062648
161	16.1	24.419992	0.064193
162	16.2	24.589995	0.064242
163	16.3	24.754992	0.063171
164	16.4	24.919991	0.062567
165	16.5	25.089993	0.062301
166	16.6	25.254992	0.062536
167	16.7	25.424992	0.061601
168	16.8	25.589993	0.062932
169	16.9	25.75499	0.062695
170	17	25.91999	0.06277
171	17.1	26.089992	0.061374
172	17.2	26.259992	0.060475
173	17.3	26.424992	0.059702
174	17.4	26.589989	0.058485
175	17.5	26.755014	0.058868
176	17.6	26.919987	0.059055
177	17.7	27.089989	0.059475
178	17.8	27.255013	0.058631
179	17.9	27.420011	0.060869
180	18	27.585011	0.059647
181	18.1	27.755013	0.06041
182	18.2	27.92001	0.060452
183	18.3	28.085008	0.061499
184	18.4	28.25501	0.059915
