 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	rope1.DAT
Date : 	 1AUG12  
User : 	bp                            
Sample ID : 	rope    
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	5	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	400	mm
Grip distance : 	400	mm
 
Specimen data:
--------------
Specimen number : 	1
Specimen geometry : 	cylindrical
Surface : 	3.14	mm²
Diameter : 	2	mm
Extensometer removed at point :  0 
Max Load : 	3.511917	kN
Displ. at Max Load : 	.365631	mm
Comment : 	red rope
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]

0	0	-0.000051	0.174945
1	.1	-0.000051	0.174958
2	.2	-0.000051	0.174992
3	.3	0.000076	0.176013
4	.4	0.006401	0.179954
5	.5	0.014199	0.189491
6	.6	0.023292	0.198106
7	.7	0.03175	0.206572
8	.8	0.040691	0.213329
9	.9	0.049276	0.21905
10	1	0.057709	0.223416
11	1.1	0.06637	0.227985
12	1.2	0.075006	0.233544
13	1.3	0.083236	0.236707
14	1.4	0.091719	0.24144
15	1.5	0.10033	0.245361
16	1.6	0.108636	0.247773
17	1.7	0.116992	0.252139
18	1.8	0.125628	0.254254
19	1.9	0.133731	0.25738
20	2	0.142316	0.262093
21	2.1	0.150292	0.265083
22	2.2	0.159131	0.26699
23	2.3	0.16731	0.269345
24	2.4	0.175692	0.274242
25	2.5	0.183921	0.277212
26	2.6	0.191999	0.280609
27	2.7	0.20033	0.282219
28	2.8	0.208763	0.284837
29	2.9	0.217322	0.288815
30	3	0.225349	0.292154
31	3.1	0.233324	0.29484
32	3.2	0.24196	0.297031
33	3.3	0.250317	0.300876
34	3.4	0.259283	0.302884
35	3.5	0.26736	0.306235
36	3.6	0.275996	0.309884
37	3.7	0.283845	0.312989
38	3.8	0.291871	0.315305
39	3.9	0.300685	0.318582
40	4	0.309042	0.321844
41	4.1	0.317322	0.323917
42	4.2	0.325679	0.326699
43	4.3	0.33368	0.329823
44	4.4	0.342189	0.332568
45	4.5	0.350012	0.334585
46	4.6	0.358724	0.339258
47	4.7	0.367005	0.341196
48	4.8	0.375412	0.344163
49	4.9	0.383388	0.348438
50	5	0.391643	0.349222
51	5.1	0.400355	0.35263
52	5.2	0.408762	0.356496
53	5.3	0.417068	0.359707
54	5.4	0.424993	0.360187
55	5.5	0.433273	0.365517
56	5.6	0.441833	0.366632
57	5.7	0.450012	0.36994
58	5.8	0.4588	0.37335
59	5.9	0.467081	0.375757
60	6	0.475005	0.378912
61	6.1	0.483489	0.381788
62	6.2	0.491363	0.385231
63	6.3	0.499999	0.388894
64	6.4	0.508356	0.391231
65	6.5	0.516687	0.39351
66	6.6	0.524993	0.396352
67	6.7	0.533324	0.399905
68	6.8	0.541528	0.402041
69	6.9	0.550012	0.404972
70	7	0.558952	0.408213
71	7.1	0.567411	0.410398
72	7.2	0.576047	0.416223
73	7.3	0.584073	0.416254
74	7.4	0.592353	0.419235
75	7.5	0.600964	0.422884
76	7.6	0.609092	0.425432
77	7.7	0.617652	0.429324
78	7.8	0.625627	0.43004
79	7.9	0.63373	0.435357
80	8	0.642112	0.437222
81	8.1	0.650367	0.43972
82	8.2	0.659079	0.444667
83	8.3	0.66741	0.445256
84	8.4	0.67597	0.448645
85	8.5	0.684073	0.451375
86	8.6	0.69281	0.454991
87	8.7	0.701319	0.457645
88	8.8	0.709676	0.460936
89	8.9	0.718363	0.463249
90	9	0.726313	0.467232
91	9.1	0.735	0.469855
92	9.2	0.743077	0.473179
93	9.3	0.751332	0.47562
94	9.4	0.759993	0.478957
95	9.5	0.768045	0.481945
96	9.6	0.776275	0.483899
97	9.7	0.784479	0.487014
98	9.8	0.792607	0.490521
99	9.9	0.801675	0.492743
100	10	0.809752	0.49715
101	10.1	0.818032	0.49826
102	10.2	0.82644	0.50203
103	10.3	0.835	0.50564
104	10.4	0.843229	0.507438
105	10.5	0.851002	0.510793
106	10.6	0.860323	0.513843
107	10.7	0.868528	0.516894
108	10.8	0.877011	0.520278
109	10.9	0.885292	0.52411
110	11	0.893318	0.526381
111	11.1	0.902081	0.527887
112	11.2	0.910006	0.53238
113	11.3	0.918388	0.534675
114	11.4	0.926313	0.538025
115	11.5	0.93439	0.541441
116	11.6	0.942924	0.543876
117	11.7	0.950646	0.546773
118	11.8	0.959333	0.550616
119	11.9	0.967435	0.554231
120	12	0.97597	0.556193
121	12.1	0.98425	0.559991
122	12.2	0.992708	0.562914
123	12.3	1.001319	0.56554
124	12.4	1.009472	0.567738
125	12.5	1.017956	0.573021
126	12.6	1.026363	0.57565
127	12.7	1.034034	0.578036
128	12.8	1.042645	0.580357
129	12.9	1.050722	0.584324
130	13	1.059002	0.58675
131	13.1	1.067308	0.590563
132	13.2	1.075995	0.593559
133	13.3	1.084275	0.596107
134	13.4	1.092403	0.600356
135	13.5	1.100684	0.603221
136	13.6	1.108634	0.606584
137	13.7	1.11699	0.61052
138	13.8	1.125271	0.612362
