 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	rope2.DAT
Date : 	 1AUG12  
User : 	bp                            
Sample ID : 	rope    
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	5	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	400	mm
Grip distance : 	400	mm
 
Specimen data:
--------------
Specimen number : 	2
Specimen geometry : 	cylindrical
Surface : 	7.065	mm²
Diameter : 	3	mm
Extensometer removed at point :  0 
Max Load : 	5.474885	kN
Displ. at Max Load : 	.342756	mm
Comment : 	
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]

0	0	-0.000559	0.032568
1	.1	-0.000559	0.032
2	.2	-0.000559	0.031711
3	.3	0.000432	0.031583
4	.4	0.009474	0.03447
5	.5	0.018491	0.037676
6	.6	0.027051	0.040774
7	.7	0.035687	0.041967
8	.8	0.044552	0.042376
9	.9	0.053086	0.044754
10	1	0.062332	0.047664
11	1.1	0.070358	0.048807
12	1.2	0.0794	0.048537
13	1.3	0.088087	0.051918
14	1.4	0.096672	0.05377
15	1.5	0.105004	0.054505
16	1.6	0.113487	0.055992
17	1.7	0.122326	0.057693
18	1.8	0.130327	0.058709
19	1.9	0.13904	0.060061
20	2	0.147193	0.061822
21	2.1	0.155677	0.064365
22	2.2	0.16444	0.065615
23	2.3	0.172085	0.064841
24	2.4	0.180645	0.066568
25	2.5	0.188874	0.067071
26	2.6	0.196799	0.070512
27	2.7	0.205359	0.071479
28	2.8	0.213411	0.075035
29	2.9	0.222275	0.074938
30	3	0.229997	0.076053
31	3.1	0.238989	0.077812
32	3.2	0.247193	0.078492
33	3.3	0.256032	0.080565
34	3.4	0.264389	0.082105
35	3.5	0.271932	0.083412
36	3.6	0.281	0.084955
37	3.7	0.289001	0.085496
38	3.8	0.297332	0.088607
39	3.9	0.305587	0.089584
40	4	0.313715	0.09098
41	4.1	0.322605	0.092079
42	4.2	0.330276	0.093374
43	4.3	0.338988	0.094971
44	4.4	0.34732	0.096104
45	4.5	0.355651	0.098258
46	4.6	0.363931	0.100189
47	4.7	0.371729	0.101762
48	4.8	0.380644	0.103169
49	4.9	0.38895	0.103664
50	5	0.397408	0.106488
51	5.1	0.405613	0.107514
52	5.2	0.41369	0.110114
53	5.3	0.42225	0.110473
54	5.4	0.430327	0.112281
55	5.5	0.439318	0.114063
56	5.6	0.447269	0.115665
57	5.7	0.45593	0.116519
58	5.8	0.464388	0.118525
59	5.9	0.472084	0.121516
60	6	0.48072	0.121214
61	6.1	0.489001	0.123381
62	6.2	0.497611	0.124897
63	6.3	0.505612	0.127531
64	6.4	0.513715	0.128661
65	6.5	0.522681	0.131915
66	6.6	0.530708	0.13476
67	6.7	0.539394	0.134898
68	6.8	0.547548	0.136411
69	6.9	0.556031	0.138261
70	7	0.564591	0.139475
71	7.1	0.572389	0.141772
72	7.2	0.581482	0.144182
73	7.3	0.589712	0.145591
74	7.4	0.597713	0.14704
75	7.5	0.605612	0.149293
76	7.6	0.613994	0.150666
77	7.7	0.622681	0.15336
78	7.8	0.630326	0.154579
79	7.9	0.639369	0.157689
80	8	0.647319	0.160344
81	8.1	0.656031	0.160812
82	8.2	0.66421	0.163777
83	8.3	0.672668	0.166142
84	8.4	0.681355	0.167486
85	8.5	0.689686	0.169414
86	8.6	0.698119	0.170573
87	8.7	0.706247	0.174528
88	8.8	0.71501	0.176643
89	8.9	0.723748	0.177448
90	9	0.731723	0.182288
91	9.1	0.740689	0.183385
92	9.2	0.748589	0.184479
93	9.3	0.757072	0.184409
94	9.4	0.764997	0.188491
95	9.5	0.773405	0.191403
96	9.6	0.781685	0.192609
97	9.7	0.789965	0.195454
98	9.8	0.798271	0.196712
99	9.9	0.806628	0.199265
100	10	0.81501	0.201701
101	10.1	0.823316	0.204754
102	10.2	0.831444	0.207085
103	10.3	0.840003	0.209187
104	10.4	0.848233	0.210876
105	10.5	0.857123	0.214421
106	10.6	0.865353	0.216122
107	10.7	0.873481	0.21881
108	10.8	0.88199	0.220962
109	10.9	0.889991	0.224463
110	11	0.898728	0.225141
111	11.1	0.906551	0.228076
112	11.2	0.91501	0.229889
113	11.3	0.923366	0.232343
114	11.4	0.931012	0.234156
115	11.5	0.939749	0.236761
116	11.6	0.947598	0.239562
117	11.7	0.956031	0.242946
118	11.8	0.964286	0.244405
119	11.9	0.972033	0.247877
120	12	0.980999	0.250667
121	12.1	0.98933	0.25379
122	12.2	0.997991	0.255551
123	12.3	1.00617	0.256958
124	12.4	1.01407	0.260405
125	12.5	1.022731	0.263898
126	12.6	1.030681	0.266615
127	12.7	1.039724	0.26911
128	12.8	1.047598	0.271541
129	12.9	1.055878	0.273182
130	13	1.063879	0.277769
131	13.1	1.072109	0.279562
132	13.2	1.080999	0.281599
133	13.3	1.089	0.284694
134	13.4	1.097432	0.287984
135	13.5	1.105332	0.290021
136	13.6	1.113714	0.293796
137	13.7	1.12235	0.295481
138	13.8	1.130325	0.298492
139	13.9	1.138707	0.300136
140	14	1.147089	0.303486
141	14.1	1.155395	0.306763
142	14.2	1.163549	0.308652
143	14.3	1.171727	0.312489
144	14.4	1.180719	0.315193
145	14.5	1.188364	0.317465
146	14.6	1.197	0.321203
147	14.7	1.205001	0.323498
148	14.8	1.213079	0.327804
149	14.9	1.221689	0.329164
150	15	1.229716	0.332595
151	15.1	1.237996	0.335546
152	15.2	1.246048	0.338266
153	15.3	1.254328	0.34192
154	15.4	1.262837	0.344231
155	15.5	1.270991	0.347329
156	15.6	1.280008	0.350744
157	15.7	1.287755	0.353544
158	15.8	1.296391	0.356235
159	15.9	1.304773	0.35897
160	16	1.312672	0.362318
161	16.1	1.321689	0.364996
162	16.2	1.32969	0.367752
163	16.3	1.337513	0.37069
164	16.4	1.345997	0.374225
165	16.5	1.354074	0.377497
166	16.6	1.362634	0.379646
167	16.7	1.370355	0.383275
168	16.8	1.379118	0.385885
169	16.9	1.386967	0.389272
170	17	1.395324	0.391689
171	17.1	1.403731	0.394055
172	17.2	1.412011	0.399509
173	17.3	1.420647	0.401922
174	17.4	1.428725	0.405121
175	17.5	1.437361	0.409765
176	17.6	1.445717	0.412063
177	17.7	1.453667	0.415189
178	17.8	1.462202	0.417982
179	17.9	1.470279	0.420201
180	18	1.479042	0.425106
181	18.1	1.486967	0.428045
182	18.2	1.495679	0.433341
183	18.3	1.503807	0.434265
184	18.4	1.512087	0.438155
185	18.5	1.520723	0.441309
186	18.6	1.52847	0.446546
187	18.7	1.53703	0.449346
188	18.8	1.545641	0.45174
189	18.9	1.553693	0.455757
190	19	1.562202	0.460154
191	19.1	1.570355	0.463004
192	19.2	1.579093	0.466739
193	19.3	1.587348	0.470116
194	19.4	1.595679	0.472046
195	19.5	1.603731	0.476315
196	19.6	1.612011	0.479645
197	19.7	1.621028	0.483
198	19.8	1.629131	0.487822
199	19.9	1.637411	0.489635
200	20	1.645691	0.494235
201	20.1	1.654073	0.498247
202	20.2	1.662481	0.501383
203	20.3	1.671041	0.50588
204	20.4	1.679372	0.509589
205	20.5	1.688008	0.511791
206	20.6	1.696009	0.516276
207	20.7	1.704442	0.520619
208	20.8	1.712722	0.525053
209	20.9	1.721333	0.527152
210	21	1.729765	0.530651
211	21.1	1.738401	0.534238
212	21.2	1.746631	0.537002
213	21.3	1.754988	0.54167
214	21.4	1.763192	0.545051
215	21.5	1.771371	0.549081
216	21.6	1.779651	0.551223
217	21.7	1.787754	0.55673
218	21.8	1.79611	0.560168
219	21.9	1.803959	0.562242
220	22	1.81196	0.567926
221	22.1	1.820596	0.570127
222	22.2	1.829079	0.575585
223	22.3	1.83736	0.579635
224	22.4	1.846047	0.584343
225	22.5	1.854073	0.587977
226	22.6	1.862531	0.590876
227	22.7	1.870634	0.594776
228	22.8	1.879092	0.599501
229	22.9	1.887398	0.602458
230	23	1.895678	0.605188
231	23.1	1.904009	0.610062
232	23.2	1.91196	0.614279
233	23.3	1.920316	0.618278
234	23.4	1.928647	0.620901
235	23.5	1.937004	0.626742
236	23.6	1.94531	0.630423
237	23.7	1.953235	0.633593
238	23.8	1.961566	0.638178
239	23.9	1.969719	0.642111
240	24	1.978	0.645404
241	24.1	1.986407	0.650479
242	24.2	1.994713	0.654003
243	24.3	2.002841	0.658385
244	24.4	2.010994	0.66355
245	24.5	2.019757	0.667192
246	24.6	2.028038	0.67192
247	24.7	2.036369	0.675901
248	24.8	2.045005	0.679493
249	24.9	2.053361	0.683893
250	25	2.061591	0.688405
251	25.1	2.069998	0.693115
252	25.2	2.078406	0.696921
253	25.3	2.086762	0.701076
254	25.4	2.094992	0.704725
255	25.5	2.102841	0.708807
256	25.6	2.110918	0.713806
257	25.7	2.11963	0.718751
258	25.8	2.128088	0.722153
259	25.9	2.136369	0.72685
260	26	2.144471	0.730775
261	26.1	2.152371	0.735938
262	26.2	2.160956	0.739234
263	26.3	2.16949	0.742589
264	26.4	2.177771	0.748674
265	26.5	2.186	0.753121
266	26.6	2.194001	0.756977
267	26.7	2.20251	0.760504
268	26.8	2.210638	0.765836
269	26.9	2.219401	0.77349
270	27	2.227402	0.776319
271	27.1	2.235632	0.780502
272	27.2	2.243811	0.785025
273	27.3	2.251989	0.789948
274	27.4	2.260676	0.79372
275	27.5	2.268804	0.799587
276	27.6	2.27744	0.803301
277	27.7	2.285365	0.807532
278	27.8	2.29296	0.811742
279	27.9	2.30185	0.815988
280	28	2.310003	0.819703
281	28.1	2.31836	0.826137
282	28.2	2.326691	0.829294
283	28.3	2.335403	0.835437
284	28.4	2.34381	0.840319
285	28.5	2.35204	0.845002
286	28.6	2.3606	0.850066
287	28.7	2.368804	0.853917
288	28.8	2.376729	0.860836
289	28.9	2.385009	0.862362
290	29	2.393086	0.867702
291	29.1	2.40124	0.871954
292	29.2	2.410003	0.878123
293	29.3	2.418309	0.883218
294	29.4	2.426716	0.888798
295	29.5	2.434996	0.892893
296	29.6	2.443251	0.897525
297	29.7	2.451278	0.901984
298	29.8	2.45999	0.906673
299	29.9	2.468042	0.911508
300	30	2.477033	0.917703
301	30.1	2.485314	0.922173
302	30.2	2.493366	0.927592
303	30.3	2.50223	0.932057
304	30.4	2.510003	0.936167
305	30.5	2.518689	0.941638
306	30.6	2.527122	0.945764
307	30.7	2.535276	0.950557
308	30.8	2.543835	0.954866
309	30.9	2.551684	0.960967
310	31	2.55999	0.964411
311	31.1	2.568397	0.972465
312	31.2	2.577033	0.976607
313	31.3	2.585364	0.981823
314	31.4	2.593492	0.986736
315	31.5	2.602205	0.9902
316	31.6	2.610333	0.995921
317	31.7	2.619045	1.001787
318	31.8	2.627351	1.006664
319	31.9	2.635961	1.012207
320	32	2.644165	1.015834
321	32.1	2.652268	1.022664
322	32.2	2.661234	1.027311
323	32.3	2.669794	1.032907
324	32.4	2.67777	1.038591
325	32.5	2.686355	1.041691
326	32.6	2.694051	1.047636
327	32.7	2.702077	1.050991
328	32.8	2.710688	1.057144
329	32.9	2.719451	1.064193
330	33	2.727808	1.068168
331	33.1	2.736088	1.073253
332	33.2	2.744114	1.079682
333	33.3	2.75209	1.084575
334	33.4	2.760929	1.089545
335	33.5	2.769768	1.094119
336	33.6	2.778354	1.10033
337	33.7	2.786405	1.105394
338	33.8	2.794991	1.109593
339	33.9	2.802788	1.116882
340	34	2.811069	1.122498
341	34.1	2.82001	1.124728
342	34.2	2.828087	1.133007
343	34.3	2.836316	1.137613
344	34.4	2.84447	1.143312
345	34.5	2.852725	1.147559
346	34.6	2.861513	1.154378
347	34.7	2.869768	1.159297
348	34.8	2.878049	1.16336
349	34.9	2.886329	1.170274
350	35	2.894432	1.174296
351	35.1	2.902839	1.180324
352	35.2	2.910408	1.184956
353	35.3	2.9194	1.190104
354	35.4	2.927731	1.196189
355	35.5	2.936316	1.20155
356	35.6	2.94452	1.206427
357	35.7	2.952318	1.211282
358	35.8	2.960649	1.217566
359	35.9	2.969006	1.224568
360	36	2.977591	1.229012
361	36.1	2.985999	1.234389
362	36.2	2.99405	1.241334
363	36.3	3.002483	1.245767
364	36.4	3.010332	1.25167
365	36.5	3.019349	1.258454
366	36.6	3.028086	1.26257
367	36.7	3.036367	1.268983
368	36.8	3.04419	1.271442
369	36.9	3.05275	1.28006
370	37	3.061208	1.284837
371	37.1	3.069717	1.29097
372	37.2	3.078429	1.295867
373	37.3	3.086633	1.301681
374	37.4	3.09499	1.308314
375	37.5	3.102915	1.312716
376	37.6	3.111068	1.318249
377	37.7	3.119755	1.324527
378	37.8	3.127629	1.328044
379	37.9	3.136036	1.333676
380	38	3.144164	1.338631
381	38.1	3.152369	1.345987
382	38.2	3.160598	1.349905
383	38.3	3.169082	1.357022
384	38.4	3.177362	1.361951
385	38.5	3.185668	1.367906
386	38.6	3.19372	1.373298
387	38.7	3.202229	1.378998
388	38.8	3.210357	1.385672
389	38.9	3.219044	1.390126
390	39	3.227349	1.397592
391	39.1	3.236011	1.402417
392	39.2	3.244164	1.407637
393	39.3	3.252445	1.414113
394	39.4	3.260953	1.418855
395	39.5	3.269082	1.424961
396	39.6	3.277387	1.429723
397	39.7	3.285388	1.435678
398	39.8	3.293364	1.441727
399	39.9	3.301644	1.447223
400	40	3.310001	1.453548
401	40.1	3.318637	1.458076
402	40.2	3.326993	1.464875
403	40.3	3.335274	1.470512
404	40.4	3.343529	1.477457
405	40.5	3.351708	1.481323
406	40.6	3.360649	1.487611
407	40.7	3.368726	1.491451
408	40.8	3.376676	1.49812
409	40.9	3.385363	1.503575
410	41	3.393389	1.509931
411	41.1	3.401797	1.516449
412	41.2	3.410001	1.52206
413	41.3	3.418764	1.527457
414	41.4	3.427044	1.533741
415	41.5	3.435274	1.541061
416	41.6	3.44325	1.546521
417	41.7	3.451682	1.554513
418	41.8	3.460369	1.559275
419	41.9	3.469132	1.565788
420	42	3.477717	1.572029
421	42.1	3.486048	1.577072
422	42.2	3.494405	1.584533
423	42.3	3.502431	1.586023
424	42.4	3.510991	1.59412
425	42.5	3.519729	1.601174
426	42.6	3.528111	1.606248
427	42.7	3.536721	1.612438
428	42.8	3.545002	1.617898
429	42.9	3.552647	1.624525
430	43	3.561232	1.629318
431	43.1	3.569513	1.633882
432	43.2	3.578073	1.641176
433	43.3	3.586328	1.646762
434	43.4	3.59476	1.652034
435	43.5	3.603193	1.655264
436	43.6	3.611042	1.664694
437	43.7	3.620008	1.670082
438	43.8	3.628035	1.676063
439	43.9	3.636721	1.681575
440	44	3.644443	1.686212
441	44.1	3.653003	1.694183
442	44.2	3.661765	1.699893
443	44.3	3.669995	1.706083
444	44.4	3.679037	1.709959
445	44.5	3.687039	1.716503
446	44.6	3.695649	1.723755
447	44.7	3.703472	1.727871
448	44.8	3.711677	1.733623
449	44.9	3.720287	1.73975
450	45	3.728771	1.744991
451	45.1	3.736721	1.750889
452	45.2	3.745331	1.756797
453	45.3	3.753358	1.763654
454	45.4	3.761892	1.767728
455	45.5	3.769995	1.775397
456	45.6	3.778631	1.780211
457	45.7	3.786962	1.786609
458	45.8	3.795649	1.793955
459	45.9	3.803599	1.798404
460	46	3.81193	1.804125
461	46.1	3.820592	1.809252
462	46.2	3.828847	1.815024
463	46.3	3.837407	1.822058
464	46.4	3.845357	1.826549
465	46.5	3.853409	1.833978
466	46.6	3.862248	1.838084
467	46.7	3.869995	1.844419
468	46.8	3.878758	1.85139
469	46.9	3.886962	1.856579
470	47	3.894988	1.861456
471	47.1	3.903472	1.865978
472	47.2	3.911041	1.873658
473	47.3	3.919601	1.879118
474	47.4	3.928034	1.884536
475	47.5	3.936721	1.890882
476	47.6	3.944392	1.89555
477	47.7	3.953078	1.901802
478	47.8	3.961206	1.906762
479	47.9	3.969766	1.9154
480	48	3.978046	1.91985
481	48.1	3.986352	1.926425
482	48.2	3.994404	1.93151
483	48.3	4.003116	1.935449
484	48.4	4.01099	1.94167
485	48.5	4.019321	1.948359
486	48.6	4.027754	1.953246
487	48.7	4.036009	1.960384
488	48.8	4.044594	1.967605
489	48.9	4.052316	1.973159
490	49	4.060927	1.977462
491	49.1	4.069359	1.984235
492	49.2	4.078122	1.99031
493	49.3	4.086327	1.995749
494	49.4	4.094404	2.002439
495	49.5	4.102532	2.006294
496	49.6	4.11099	2.012244
497	49.7	4.119677	2.017767
498	49.8	4.128008	2.023956
499	49.9	4.136288	2.030823
500	50	4.144162	2.035325
501	50.1	4.152367	2.042337
502	50.2	4.161003	2.049058
503	50.3	4.169003	2.053633
504	50.4	4.177005	2.059374
505	50.5	4.185361	2.063428
506	50.6	4.193388	2.071024
507	50.7	4.201516	2.075713
508	50.8	4.209999	2.082965
509	50.9	4.218432	2.087935
510	51	4.226967	2.094917
511	51.1	4.234993	2.100565
512	51.2	4.243248	2.106525
513	51.3	4.25163	2.112777
514	51.4	4.26024	2.118268
515	51.5	4.268673	2.125646
516	51.6	4.277081	2.131543
517	51.7	4.285005	2.136805
518	51.8	4.293032	2.14286
519	51.9	4.301566	2.147423
520	52	4.309999	2.153915
521	52.1	4.318051	2.159198
522	52.2	4.326357	2.166096
523	52.3	4.334434	2.169785
524	52.4	4.342638	2.177881
525	52.5	4.351046	2.18481
526	52.6	4.359326	2.188895
527	52.7	4.368089	2.196544
528	52.8	4.376039	2.201524
529	52.9	4.384319	2.207495
530	53	4.392651	2.214695
531	53.1	4.401287	2.220249
532	53.2	4.40944	2.226564
533	53.3	4.417949	2.232191
534	53.4	4.426356	2.238922
535	53.5	4.434688	2.245288
536	53.6	4.442917	2.2503
537	53.7	4.450994	2.256219
538	53.8	4.459605	2.262335
539	53.9	4.468114	2.270578
540	54	4.476445	2.275715
541	54.1	4.485005	2.281488
542	54.2	4.493031	2.289709
543	54.3	4.501566	2.293627
544	54.4	4.50977	2.299869
545	54.5	4.518508	2.305412
546	54.6	4.526712	2.314061
547	54.7	4.535322	2.319469
548	54.8	4.543526	2.324554
549	54.9	4.552086	2.332546
550	55	4.56057	2.336526
551	55.1	4.568749	2.344216
552	55.2	4.57741	2.349979
553	55.3	4.585589	2.356147
554	55.4	4.593691	2.361983
555	55.5	4.601871	2.367578
556	55.6	4.609998	2.373611
557	55.7	4.618685	2.380864
558	55.8	4.627042	2.387512
559	55.9	4.635348	2.39343
560	56	4.643552	2.399588
561	56.1	4.651908	2.408008
562	56.2	4.660595	2.413489
563	56.3	4.669079	2.41849
564	56.4	4.677588	2.425711
565	56.5	4.68597	2.432297
566	56.6	4.693996	2.437819
567	56.7	4.702962	2.443488
568	56.8	4.710709	2.451126
569	56.9	4.719396	2.45669
570	57	4.727727	2.46265
571	57.1	4.736109	2.468621
572	57.2	4.743932	2.47405
573	57.3	4.75201	2.482355
574	57.4	4.76095	2.488523
575	57.5	4.769002	2.49588
576	57.6	4.777715	2.501548
577	57.7	4.785995	2.507519
578	57.8	4.793717	2.514302
579	57.9	4.802149	2.520961
580	58	4.810354	2.527432
581	58.1	4.819091	2.533611
582	58.2	4.827803	2.540092
583	58.3	4.836008	2.545427
584	58.4	4.844491	2.552065
585	58.5	4.85267	2.558827
586	58.6	4.861154	2.564517
587	58.7	4.869002	2.570779
588	58.8	4.87741	2.577208
589	58.9	4.885715	2.583658
590	59	4.894072	2.590536
591	59.1	4.9022	2.594964
592	59.2	4.909998	2.602446
593	59.3	4.918634	2.607749
594	59.4	4.926914	2.615304
595	59.5	4.934991	2.62018
596	59.6	4.943195	2.627412
597	59.7	4.951755	2.635581
598	59.8	4.960011	2.639624
599	59.9	4.968672	2.646251
600	60	4.97713	2.654077
601	60.1	4.985715	2.660954
602	60.2	4.993716	2.666477
603	60.3	5.002149	2.672041
604	60.4	5.01043	2.679012
605	60.5	5.018684	2.683638
606	60.6	5.02699	2.691182
607	60.7	5.035271	2.697987
608	60.8	5.043602	2.703916
609	60.9	5.052035	2.710262
610	61	5.060289	2.716326
611	61.1	5.068722	2.72361
612	61.2	5.076952	2.729747
613	61.3	5.085486	2.736958
614	61.4	5.093716	2.743637
615	61.5	5.102149	2.7499
616	61.6	5.110353	2.755933
617	61.7	5.118989	2.761841
618	61.8	5.12732	2.767092
619	61.9	5.135677	2.774157
620	62	5.143881	2.780274
621	62.1	5.152009	2.787683
622	62.2	5.160645	2.791986
623	62.3	5.168748	2.801041
624	62.4	5.177409	2.805355
625	62.5	5.185004	2.811992
626	62.6	5.19336	2.818567
627	62.7	5.201514	2.825455
628	62.8	5.209997	2.831645
629	62.9	5.218277	2.837834
630	63	5.226634	2.844492
631	63.1	5.234991	2.851766
632	63.2	5.242916	2.857059
633	63.3	5.251526	2.864958
634	63.4	5.259959	2.869396
635	63.5	5.268392	2.87743
636	63.6	5.276672	2.88263
637	63.7	5.284724	2.888173
638	63.8	5.292674	2.895926
639	63.9	5.301234	2.901563
640	64	5.309717	2.909128
641	64.1	5.318074	2.915443
642	64.2	5.325999	2.922247
643	64.3	5.334051	2.928374
644	64.4	5.342687	2.934376
645	64.5	5.350713	2.942378
646	64.6	5.359324	2.949016
647	64.7	5.36735	2.955174
648	64.8	5.375351	2.959488
649	64.9	5.383682	2.966126
650	65	5.391632	2.976045
651	65.1	5.40032	2.981662
652	65.2	5.409082	2.988154
653	65.3	5.417312	2.994218
654	65.4	5.425668	3.001449
655	65.5	5.434076	3.007493
656	65.6	5.442712	3.01462
657	65.7	5.450688	3.02279
658	65.8	5.459197	3.029511
659	65.9	5.467807	3.035627
660	66	5.476113	3.041025
661	66.1	5.484241	3.049256
662	66.2	5.492267	3.057322
663	66.3	5.50065	3.061031
664	66.4	5.509412	3.067773
665	66.5	5.517362	3.078881
666	66.6	5.525668	3.08457
667	66.7	5.533669	3.091718
668	66.8	5.54228	3.099075
669	66.9	5.550637	3.104764
670	67	5.559197	3.111162
671	67.1	5.567756	3.119477
672	67.2	5.576087	3.125146
673	67.3	5.58419	3.133127
674	67.4	5.592648	3.138879
675	67.5	5.600928	3.145527
676	67.6	5.609438	3.152863
677	67.7	5.617566	3.15999
678	67.8	5.626354	3.167534
679	67.9	5.63405	3.174057
680	68	5.64261	3.181268
681	68.1	5.650687	3.189375
682	68.2	5.659273	3.194731
683	68.3	5.66768	3.202775
684	68.4	5.676087	3.207922
685	68.5	5.684393	3.214675
686	68.6	5.692368	3.221677
687	68.7	5.700928	3.228158
688	68.8	5.709717	3.235327
689	68.9	5.718074	3.24408
690	69	5.72676	3.252041
691	69.1	5.73499	3.258647
692	69.2	5.742965	3.26392
693	69.3	5.751322	3.271381
694	69.4	5.760009	3.279425
695	69.5	5.768441	3.286948
696	69.6	5.776722	3.293784
697	69.7	5.785002	3.300911
698	69.8	5.79308	3.30808
699	69.9	5.801284	3.312352
700	70	5.809793	3.320667
701	70.1	5.818048	3.327482
702	70.2	5.82643	3.336027
703	70.3	5.834431	3.341403
704	70.4	5.843245	3.348843
705	70.5	5.851373	3.356658
706	70.6	5.860009	3.363264
707	70.7	5.868315	3.372559
708	70.8	5.876722	3.37804
709	70.9	5.885002	3.384125
710	71	5.893003	3.392024
711	71.1	5.90169	3.398109
712	71.2	5.909767	3.405486
713	71.3	5.917692	3.411842
714	71.4	5.926074	3.419449
715	71.5	5.933999	3.427223
716	71.6	5.94233	3.433141
717	71.7	5.950407	3.441081
718	71.8	5.958434	3.445332
719	71.9	5.96745	3.453939
720	72	5.975629	3.461984
721	72.1	5.984011	3.469486
722	72.2	5.992368	3.475613
723	72.3	6.000877	3.482615
724	72.4	6.009411	3.490535
725	72.5	6.017717	3.496849
726	72.6	6.026353	3.505935
727	72.7	6.034405	3.51125
728	72.8	6.04233	3.517689
729	72.9	6.050686	3.526401
730	73	6.05884	3.531652
731	73.1	6.067349	3.540759
732	73.2	6.07568	3.546969
733	73.3	6.084316	3.551825
734	73.4	6.092037	3.560661
735	73.5	6.100267	3.565601
736	73.6	6.108319	3.573978
737	73.7	6.116676	3.579626
738	73.8	6.125007	3.588462
739	73.9	6.133008	3.593839
740	74	6.141593	3.601717
741	74.1	6.15	3.60899
742	74.2	6.157798	3.614992
743	74.3	6.166333	3.623244
744	74.4	6.174435	3.629913
745	74.5	6.183071	3.638124
746	74.6	6.19097	3.643626
747	74.7	6.199352	3.650316
748	74.8	6.207633	3.657151
749	74.9	6.215913	3.664903
750	75	6.224448	3.672468
751	75.1	6.232398	3.677991
752	75.2	6.240678	3.685327
753	75.3	6.249314	3.694267
754	75.4	6.257239	3.700332
755	75.5	6.266028	3.708043
756	75.6	6.273724	3.713774
757	75.7	6.282716	3.719546
758	75.8	6.29064	3.728487
759	75.9	6.299149	3.734947
760	76	6.307684	3.744325
761	76.1	6.31604	3.750264
762	76.2	6.324397	3.756141
763	76.3	6.332322	3.76281
764	76.4	6.341034	3.770208
765	76.5	6.349035	3.776356
766	76.6	6.357188	3.782045
767	76.7	6.365672	3.789902
768	76.8	6.373851	3.79853
769	76.9	6.382004	3.804949
770	77	6.390005	3.811638
771	77.1	6.398793	3.818015
772	77.2	6.407353	3.826935
773	77.3	6.41543	3.831582
774	77.4	6.423812	3.840085
775	77.5	6.432067	3.846546
776	77.6	6.440653	3.853339
777	77.7	6.449035	3.859696
778	77.8	6.457239	3.865593
779	77.9	6.465722	3.873388
780	78	6.474028	3.880411
781	78.1	6.482689	3.886683
782	78.2	6.490284	3.892665
783	78.3	6.498488	3.900855
784	78.4	6.507048	3.908107
785	78.5	6.514999	3.912838
786	78.6	6.523711	3.921529
787	78.7	6.531636	3.928739
788	78.8	6.539992	3.933907
789	78.9	6.5484	3.942118
790	79	6.556274	3.946328
791	79.1	6.565011	3.954914
792	79.2	6.573037	3.963292
793	79.3	6.581673	3.967272
794	79.4	6.590005	3.975129
795	79.5	6.598132	3.979339
796	79.6	6.607048	3.987508
797	79.7	6.614795	3.992926
798	79.8	6.623482	4.000991
799	79.9	6.631711	4.007743
800	80	6.639992	4.012558
801	80.1	6.648323	4.019997
802	80.2	6.656552	4.024686
803	80.3	6.665367	4.031981
804	80.4	6.673367	4.038712
805	80.5	6.681673	4.043568
806	80.6	6.690005	4.051403
807	80.7	6.698082	4.055863
808	80.8	6.706972	4.065137
809	80.9	6.715328	4.069764
810	81	6.723685	4.076537
811	81.1	6.732041	4.08258
812	81.2	6.740804	4.088603
813	81.3	6.749161	4.095376
814	81.4	6.756908	4.102378
815	81.5	6.765671	4.108172
816	81.6	6.773672	4.115237
817	81.7	6.782028	4.120489
818	81.8	6.79036	4.129241
819	81.9	6.798132	4.133242
820	82	6.807073	4.141704
821	82.1	6.814998	4.148143
822	82.2	6.823481	4.153436
823	82.3	6.831355	4.161606
824	82.4	6.839992	4.167337
825	82.5	6.848755	4.17584
826	82.6	6.856552	4.181341
827	82.7	6.865011	4.187489
828	82.8	6.873393	4.193866
829	82.9	6.881723	4.201098
830	83	6.890004	4.207933
831	83.1	6.898157	4.213956
832	83.2	6.906996	4.220729
833	83.3	6.914718	4.227023
834	83.4	6.923354	4.234192
835	83.5	6.93133	4.240965
836	83.6	6.939991	4.248676
837	83.7	6.948399	4.255094
838	83.8	6.955917	4.261034
